date,series_id,source,value,frequency,unit
2016-12-01,datos_cpi_index,datos.gob.ar,100.0,M,Index
2017-01-01,datos_cpi_index,datos.gob.ar,101.5859,M,Index
2017-02-01,datos_cpi_index,datos.gob.ar,103.6859,M,Index
2017-03-01,datos_cpi_index,datos.gob.ar,106.1476,M,Index
2017-04-01,datos_cpi_index,datos.gob.ar,108.9667,M,Index
2017-05-01,datos_cpi_index,datos.gob.ar,110.5301,M,Index
2017-06-01,datos_cpi_index,datos.gob.ar,111.8477,M,Index
2017-07-01,datos_cpi_index,datos.gob.ar,113.7852,M,Index
2017-08-01,datos_cpi_index,datos.gob.ar,115.3819,M,Index
2017-09-01,datos_cpi_index,datos.gob.ar,117.5719,M,Index
2017-10-01,datos_cpi_index,datos.gob.ar,119.3528,M,Index
2017-11-01,datos_cpi_index,datos.gob.ar,120.994,M,Index
2017-12-01,datos_cpi_index,datos.gob.ar,124.7956,M,Index
2018-01-01,datos_cpi_index,datos.gob.ar,126.9887,M,Index
2018-02-01,datos_cpi_index,datos.gob.ar,130.0606,M,Index
2018-03-01,datos_cpi_index,datos.gob.ar,133.1054,M,Index
2018-04-01,datos_cpi_index,datos.gob.ar,136.7512,M,Index
2018-05-01,datos_cpi_index,datos.gob.ar,139.5893,M,Index
2018-06-01,datos_cpi_index,datos.gob.ar,144.8053,M,Index
2018-07-01,datos_cpi_index,datos.gob.ar,149.2966,M,Index
2018-08-01,datos_cpi_index,datos.gob.ar,155.1034,M,Index
2018-09-01,datos_cpi_index,datos.gob.ar,165.2383,M,Index
2018-10-01,datos_cpi_index,datos.gob.ar,174.1473,M,Index
2018-11-01,datos_cpi_index,datos.gob.ar,179.6388,M,Index
2018-12-01,datos_cpi_index,datos.gob.ar,184.2552,M,Index
2019-01-01,datos_cpi_index,datos.gob.ar,189.6101,M,Index
2019-02-01,datos_cpi_index,datos.gob.ar,196.7501,M,Index
2019-03-01,datos_cpi_index,datos.gob.ar,205.9571,M,Index
2019-04-01,datos_cpi_index,datos.gob.ar,212.9596414,M,Index
2019-05-01,datos_cpi_index,datos.gob.ar,219.5691,M,Index
2019-06-01,datos_cpi_index,datos.gob.ar,225.537,M,Index
2019-07-01,datos_cpi_index,datos.gob.ar,230.494,M,Index
2019-08-01,datos_cpi_index,datos.gob.ar,239.6077,M,Index
2019-09-01,datos_cpi_index,datos.gob.ar,253.7102,M,Index
2019-10-01,datos_cpi_index,datos.gob.ar,262.0661,M,Index
2019-11-01,datos_cpi_index,datos.gob.ar,273.2158,M,Index
2019-12-01,datos_cpi_index,datos.gob.ar,283.4442,M,Index
2020-01-01,datos_cpi_index,datos.gob.ar,289.8299,M,Index
2020-02-01,datos_cpi_index,datos.gob.ar,295.666,M,Index
2020-03-01,datos_cpi_index,datos.gob.ar,305.5515,M,Index
2020-04-01,datos_cpi_index,datos.gob.ar,310.1243,M,Index
2020-05-01,datos_cpi_index,datos.gob.ar,314.9087,M,Index
2020-06-01,datos_cpi_index,datos.gob.ar,321.9738,M,Index
2020-07-01,datos_cpi_index,datos.gob.ar,328.2014,M,Index
2020-08-01,datos_cpi_index,datos.gob.ar,337.0632,M,Index
2020-09-01,datos_cpi_index,datos.gob.ar,346.6207,M,Index
2020-10-01,datos_cpi_index,datos.gob.ar,359.657,M,Index
2020-11-01,datos_cpi_index,datos.gob.ar,371.0211,M,Index
2020-12-01,datos_cpi_index,datos.gob.ar,385.8826,M,Index
2021-01-01,datos_cpi_index,datos.gob.ar,401.5071,M,Index
2021-02-01,datos_cpi_index,datos.gob.ar,415.8595,M,Index
2021-03-01,datos_cpi_index,datos.gob.ar,435.8657,M,Index
2021-04-01,datos_cpi_index,datos.gob.ar,453.6503,M,Index
2021-05-01,datos_cpi_index,datos.gob.ar,468.725,M,Index
2021-06-01,datos_cpi_index,datos.gob.ar,483.6049,M,Index
2021-07-01,datos_cpi_index,datos.gob.ar,498.0987,M,Index
2021-08-01,datos_cpi_index,datos.gob.ar,510.3942,M,Index
